,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
311,Hyundai Elite i20,Hyundai,STA 1.2 ,2018,Manual,"74,112",1st,Petrol,"6,84,199","15,220/month",Zero downpayment
312,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2018,Manual,"12,468",2nd,Petrol,"5,48,699","12,206/month",Zero downpayment
313,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2019,Manual,"24,367",1st,Petrol,"5,35,799","11,919/month",Zero downpayment
314,Hyundai Elite i20,Hyundai,1.2 MAGNA PLUS VTVT ,2019,Manual,"41,323",1st,Petrol,"7,06,199","15,709/month",Zero downpayment
315,Tata Tiago,Tata,XZ+ 1.2 Revotron ,2019,Manual,"51,592",1st,Petrol,"5,46,799","12,163/month",Zero downpayment
316,Maruti Celerio,Maruti,VXI AMT ,2016,Automatic,"86,629",1st,Petrol,"3,95,999","8,809/month",Zero downpayment
317,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2018,Automatic,"8,372",1st,Petrol,"5,70,799","12,697/month",Zero downpayment
318,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2018,Automatic,"9,731",1st,Petrol,"5,70,799","12,697/month",Zero downpayment
319,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2018,Automatic,"18,421",1st,Petrol,"5,68,199","12,639/month",Zero downpayment
320,Maruti Swift,Maruti,VDI AMT ,2018,Automatic,"26,046",1st,Diesel,"6,94,799","15,455/month",Zero downpayment
321,Maruti Swift,Maruti,VXI OPT ,2016,Manual,"51,823",1st,Petrol,"5,07,299","11,285/month",Zero downpayment
322,Maruti Swift,Maruti,VXI OPT ,2016,Manual,"32,516",1st,Petrol,"5,87,299","13,064/month",Zero downpayment
323,Hyundai Elite i20,Hyundai,1.2  ASTA (O) CVT ,2019,Automatic,"37,522",2nd,Petrol,"8,52,399","18,961/month",Zero downpayment
324,Maruti Swift,Maruti,VXI OPT ,2016,Manual,"41,912",1st,Petrol,"5,61,599","12,492/month",Zero downpayment
325,Maruti Swift,Maruti,ZXI ,2016,Manual,"35,133",1st,Petrol,"5,63,099","12,526/month",Zero downpayment
326,Hyundai NEW SANTRO,Hyundai,STA 1.1 MT ,2018,Manual,"37,499",1st,Petrol,"4,97,599","11,069/month",Zero downpayment
327,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2018,,"11,119",1st,Petrol,"5,57,899","12,410/month",Zero downpayment
328,Honda Jazz,Honda,1.2 V AT ,2018,Automatic,"65,616",1st,Petrol,"7,48,399","16,648/month",Zero downpayment
329,Hyundai Eon,Hyundai,ERA PLUS ,2015,Manual,"70,656",1st,Petrol,"3,05,399","6,793/month",Zero downpayment
330,Maruti Swift,Maruti,ZXI ,2016,Manual,"50,141",2nd,Petrol,"5,39,399","11,999/month",Zero downpayment
331,Maruti Swift Dzire,Maruti,VDI BS IV ,2014,Manual,"80,815",1st,Diesel,"5,09,399","11,331/month",Zero downpayment
332,Maruti Swift,Maruti,VXI ,2016,Manual,"35,267",1st,Petrol,"4,91,599","10,935/month",Zero downpayment
333,Honda Jazz,Honda,VX  1.2 ,2019,Manual,"6,957",1st,Petrol,"7,34,999","16,350/month",Zero downpayment
334,Hyundai Eon,Hyundai,GNA PLUS ,2014,Manual,"48,056",1st,Petrol,"2,96,699","6,600/month",Zero downpayment
335,Honda Jazz,Honda,1.2 VX AT ,2019,Manual,"5,183",1st,Petrol,"8,14,699","18,123/month",Zero downpayment
336,Renault Kwid,Renault,CLIMBER 1.0 AT ,2019,,"20,406",1st,Petrol,"5,12,999","11,411/month",Zero downpayment
337,Renault Kwid,Renault,RXT 1.0 EASY-R AT OPTION ,2019,Automatic,"23,731",1st,Petrol,"4,91,699","10,938/month",Zero downpayment
338,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2019,Automatic,"39,609",1st,Petrol,"5,98,299","13,309/month",Zero downpayment
339,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2019,Automatic,"4,262",1st,Petrol,"5,98,299","13,309/month",Zero downpayment
340,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2019,Automatic,"8,905",1st,Petrol,"5,98,299","13,309/month",Zero downpayment
341,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2019,Automatic,"14,603",1st,Petrol,"5,98,299","13,309/month",Zero downpayment
342,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2019,Automatic,"45,161",1st,Petrol,"5,68,599","12,648/month",Zero downpayment
343,Honda Jazz,Honda,VX  1.2 ,2019,Manual,"18,101",1st,Petrol,"8,10,099","18,020/month",Zero downpayment
344,Maruti Swift,Maruti,VXI ,2015,Manual,"50,979",2nd,Petrol,"4,85,199","10,793/month",Zero downpayment
345,Maruti Swift,Maruti,ZDI AMT ,2018,Automatic,"44,291",2nd,Diesel,"7,21,099","16,040/month",Zero downpayment
346,Maruti Swift,Maruti,VXI ,2015,Manual,"62,142",1st,Petrol,"5,05,399","11,242/month",Zero downpayment
347,Hyundai Eon,Hyundai,ERA PLUS ,2015,Manual,"18,299",1st,Petrol,"3,14,399","6,994/month",Zero downpayment
348,Hyundai Eon,Hyundai,ERA PLUS ,2016,Manual,"53,809",2nd,Petrol,"3,22,199","7,167/month",Zero downpayment
349,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2019,Automatic,"27,830",1st,Petrol,"5,31,999","11,834/month",Zero downpayment
