,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
66,Hyundai Grand i10,Hyundai,STA 1.2 VTVT ,2019,Manual,"14,712",3rd,Petrol,"6,27,799","13,965/month",Zero downpayment
67,Hyundai Grand i10,Hyundai,STA 1.2 VTVT ,2017,Manual,"27,787",1st,Petrol,"5,96,999","13,280/month",Zero downpayment
68,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2016,Manual,"35,640",2nd,Petrol,"4,27,599","9,512/month",Zero downpayment
69,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"43,883",3rd,Petrol,"3,83,899","8,540/month",Zero downpayment
70,Renault Kwid,Renault,RXL ,2019,Manual,"17,357",1st,Petrol,"4,26,099","9,478/month",Zero downpayment
71,Hyundai Grand i10,Hyundai,STA 1.2 (O) VTVT ,2016,Manual,"29,361",1st,Petrol,"5,44,499","12,112/month",Zero downpayment
72,Maruti Ritz,Maruti,VXI BS IV ,2014,Manual,"70,857",1st,Petrol,"4,09,699","9,114/month",Zero downpayment
73,Hyundai i10,Hyundai,SPORTZ 1.2 AT KAPPA2 ,2013,Automatic,"47,110",2nd,Petrol,"3,97,299","8,838/month",Zero downpayment
74,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"73,116",1st,Petrol,"4,19,499","9,332/month",Zero downpayment
75,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,"78,101",1st,Petrol,"3,96,199","8,813/month",Zero downpayment
76,Maruti Alto K10,Maruti,VXI ,2012,Manual,"49,493",1st,Petrol,"2,97,699","6,622/month",Zero downpayment
77,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"12,154",1st,Petrol,"4,99,299","11,107/month",Zero downpayment
78,Tata Nano,Tata,XT TWIST ,2015,Manual,"39,703",1st,Petrol,"1,86,399","4,146/month",Zero downpayment
79,Maruti Celerio,Maruti,VXI AMT ,2016,Automatic,"42,560",1st,Petrol,"4,47,999","9,965/month",Zero downpayment
80,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"48,272",1st,Petrol,"4,19,899","9,340/month",Zero downpayment
81,Maruti Alto 800,Maruti,LXI ,2016,Manual,"36,306",1st,Petrol,"3,16,799","7,047/month",Zero downpayment
82,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"14,651",1st,Petrol,"4,51,499","10,043/month",Zero downpayment
83,Maruti Alto K10,Maruti,VXI AMT ,2019,Automatic,"14,179",1st,Petrol,"5,07,999","11,300/month",Zero downpayment
84,Maruti Alto K10,Maruti,VXI ,2016,Manual,"37,041",1st,Petrol,"3,75,599","8,355/month",Zero downpayment
85,Maruti Alto K10,Maruti,VXI ,2015,Manual,"21,377",1st,Petrol,"3,75,299","8,348/month",Zero downpayment
86,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,"46,178",3rd,Petrol,"3,99,199","8,880/month",Zero downpayment
87,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"31,773",1st,Petrol,"4,31,899","9,607/month",Zero downpayment
