,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
338,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,188,1st,Petrol,"88,499",",315/month",Zero downpayment
339,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,179,1st,Petrol,"88,499",",315/month",Zero downpayment
340,Honda City,Honda,VX MT PETROL ,2019,Manual,"58,549",2nd,Petrol,",30,799",",930/month",Zero downpayment
341,Hyundai Creta,Hyundai,1.6 CRDI sx(o) executive ,2019,Manual,"53,159",1st,Diesel,",53,899",",892/month",Zero downpayment
342,Maruti Wagon R 1.0,Maruti,LXI ,2015,Manual,"1,47,476",1st,Petrol,"11,599",931/month,Zero downpayment
343,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2018,Manual,"78,828",1st,Diesel,"44,899",",570/month",Zero downpayment
344,Mahindra XUV500,Mahindra,W7 FWD ,2019,Manual,"57,183",1st,Diesel,",95,799",",600/month",Zero downpayment
345,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"29,037",1st,Petrol,"44,599",665/month,Zero downpayment
346,Maruti Swift,Maruti,VXI ,2019,Manual,"37,646",1st,Petrol,"63,799",",541/month",Zero downpayment
347,Maruti Swift,Maruti,VDI ,2018,Manual,"46,113",2nd,Diesel,"65,099",",570/month",Zero downpayment
348,Maruti Swift,Maruti,VXI ,2019,Manual,"37,359",2nd,Petrol,"63,799",",541/month",Zero downpayment
349,Maruti Vitara Brezza,Maruti,VDI ,2018,Manual,"28,845",1st,Diesel,"44,999",",572/month",Zero downpayment
350,Hyundai Creta,Hyundai,1.6 CRDI SX PLUS AUTO ,2018,Automatic,"83,240",1st,Diesel,",46,699",",732/month",Zero downpayment
351,Maruti Swift,Maruti,VDI ,2018,Manual,"74,382",1st,Diesel,"62,599",",515/month",Zero downpayment
352,Maruti Vitara Brezza,Maruti,VDI ,2018,Manual,"27,460",1st,Diesel,"74,199",",222/month",Zero downpayment
353,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2019,Manual,"39,391",1st,Petrol,"48,399",",423/month",Zero downpayment
354,Maruti Swift,Maruti,VXI ,2016,Manual,"1,01,184",1st,Petrol,"85,999",",811/month",Zero downpayment
355,Maruti Wagon R 1.0,Maruti,VXI ,2017,Manual,"36,824",1st,Petrol,"94,799",782/month,Zero downpayment
356,Maruti Swift,Maruti,ZDI ,2016,Manual,"1,04,024",1st,Diesel,"82,799",",740/month",Zero downpayment
357,Maruti Swift,Maruti,ZDI ,2015,Manual,"86,785",2nd,Diesel,"73,199",",526/month",Zero downpayment
358,Honda Jazz,Honda,1.2 V MT ,2018,Manual,"30,450",2nd,Petrol,"02,199",",396/month",Zero downpayment
359,Maruti Alto 800,Maruti,LXI ,2016,Manual,"75,831",1st,Petrol,"60,899",804/month,Zero downpayment
360,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,"29,776",1st,Diesel,"11,499",",051/month",Zero downpayment
361,Maruti IGNIS,Maruti,SIGMA 1.2 K12 ,2020,Manual,"4,835",1st,Petrol,"04,499",",222/month",Zero downpayment
362,Maruti S PRESSO,Maruti,VXI ,2020,Manual,"23,068",2nd,Petrol,"88,899",651/month,Zero downpayment
363,Maruti Alto 800,Maruti,LXI ,2017,Manual,"79,235",1st,Petrol,"73,499",084/month,Zero downpayment
364,Hyundai Grand i10,Hyundai,GNA 1.2 VTVT ,2017,Manual,"9,940",1st,Petrol,"66,999",",388/month",Zero downpayment
365,Hyundai Grand i10,Hyundai,STA 1.2 VTVT ,2017,Manual,"21,046",1st,Petrol,"41,999",",056/month",Zero downpayment
366,Ford Ecosport,Ford,1.5 TDCI TITANIUM PLUS ,2018,Manual,"95,720",1st,Diesel,"50,099",",686/month",Zero downpayment
367,Maruti Alto 800,Maruti,LXI ,2016,Manual,"1,01,906",1st,Petrol,"56,499",706/month,Zero downpayment
368,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2019,Manual,"57,864",1st,Petrol,"55,899",",366/month",Zero downpayment
369,Maruti Vitara Brezza,Maruti,VDI ,2018,Manual,"72,378",1st,Diesel,"11,299",",822/month",Zero downpayment
370,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2018,Manual,"57,458",1st,Petrol,"88,799",",873/month",Zero downpayment
371,Maruti Celerio,Maruti,ZXI ,2019,Manual,"27,164",1st,Petrol,"57,599",",179/month",Zero downpayment
372,Hyundai Grand i10,Hyundai,Sportz(O) 1.2 MT ,2017,Manual,"44,851",1st,Petrol,"40,699",",028/month",Zero downpayment
373,Maruti Alto 800,Maruti,LXI ,2017,Manual,"55,904",1st,Petrol,"86,399",371/month,Zero downpayment
374,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2018,Manual,"1,31,657",1st,Diesel,"23,899",",103/month",Zero downpayment
375,Maruti Swift,Maruti,VDI ABS ,2017,Manual,"1,20,109",1st,Diesel,"87,399",",842/month",Zero downpayment
376,Maruti Alto 800,Maruti,LXI ,2018,Manual,"70,211",1st,Petrol,"89,899",449/month,Zero downpayment
377,Maruti Alto,Maruti,VXI ,2020,Manual,"12,571",1st,Petrol,"82,099",500/month,Zero downpayment
378,Maruti Wagon R 1.0,Maruti,VXI ,2017,Manual,"17,353",1st,Petrol,"49,799",",006/month",Zero downpayment
379,Hyundai Grand i10,Hyundai,Sportz(O) 1.2 MT ,2017,Manual,"44,765",1st,Petrol,"35,699",",916/month",Zero downpayment
380,Hyundai Grand i10,Hyundai,STA 1.2 AT VTVT ,2015,Automatic,"51,589",1st,Petrol,"79,799",",673/month",Zero downpayment
381,Maruti S PRESSO,Maruti,VXI PLUS ,2020,Manual,"8,399",1st,Petrol,"30,499",576/month,Zero downpayment
382,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2018,Manual,"9,285",1st,Petrol,"98,499",",089/month",Zero downpayment
383,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"1,60,633",1st,Petrol,"54,499",",110/month",Zero downpayment
384,Maruti Alto 800,Maruti,LXI ,2017,Manual,"29,006",2nd,Petrol,"88,299",413/month,Zero downpayment
385,Maruti Alto 800,Maruti,LXI ,2018,Manual,"22,854",1st,Petrol,"89,899",449/month,Zero downpayment
386,Hyundai Grand i10,Hyundai,SPORTZ 1.1 CRDI ,2016,Manual,"44,143",2nd,Diesel,"11,499",154/month,Zero downpayment
387,Maruti Alto K10,Maruti,VXI ,2019,Manual,"29,272",1st,Petrol,"44,999",674/month,Zero downpayment
388,Maruti Alto 800,Maruti,VXI ,2018,Manual,"9,064",2nd,Petrol,"10,299",902/month,Zero downpayment
389,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"7,598",1st,Petrol,"32,199",614/month,Zero downpayment
390,Maruti Alto 800,Maruti,LXI ,2018,Manual,"43,366",1st,Petrol,"23,899",205/month,Zero downpayment
391,Maruti Alto 800,Maruti,LXI ,2018,Manual,"50,463",1st,Petrol,"18,199",078/month,Zero downpayment
392,Maruti Alto 800,Maruti,LXI ,2018,Manual,"52,303",1st,Petrol,"12,199",945/month,Zero downpayment
393,Maruti Alto 800,Maruti,LXI ,2017,Manual,"9,785",1st,Petrol,"20,399",127/month,Zero downpayment
394,Maruti Alto,Maruti,LXI ,2021,Manual,"11,698",1st,Petrol,"63,099",077/month,Zero downpayment
395,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"9,230",1st,Petrol,"32,199",614/month,Zero downpayment
396,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"80,770",1st,Petrol,"32,199",614/month,Zero downpayment
397,Maruti Alto 800,Maruti,LXI ,2018,Manual,"26,949",2nd,Petrol,"14,599",998/month,Zero downpayment
398,Maruti Alto,Maruti,LXI ,2021,Manual,"4,066",1st,Petrol,"84,299",549/month,Zero downpayment
399,Maruti Alto 800,Maruti,LXI ,2017,Manual,"29,961",1st,Petrol,"20,399",127/month,Zero downpayment
400,Maruti Alto 800,Maruti,VXI ,2019,Manual,"33,923",1st,Petrol,"25,299",236/month,Zero downpayment
401,Maruti Alto 800,Maruti,LXI ,2018,Manual,"20,431",1st,Petrol,"36,699",490/month,Zero downpayment
402,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2018,Manual,"44,000",1st,Diesel,"13,099",",862/month",Zero downpayment
403,Hyundai GRAND I10 NIOS,Hyundai,SPORTZ 1.2 AT ,2020,Automatic,"15,755",1st,Petrol,"79,999",",126/month",Zero downpayment
