,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
362,Maruti Swift,Maruti,VXI ,2014,Manual,"43,064",1st,Petrol,"37,699",736/month,Zero downpayment
363,Maruti Swift,Maruti,VDI ABS ,2014,Manual,"35,607",1st,Diesel,"28,099",523/month,Zero downpayment
364,Maruti Alto K10,Maruti,VXI ,2019,Manual,"51,513",1st,Petrol,"91,099",700/month,Zero downpayment
365,Maruti Swift Dzire,Maruti,VDI BS IV ,2014,Manual,"73,642",1st,Diesel,"28,699",536/month,Zero downpayment
366,Honda City,Honda,S AT ,2012,Automatic,"77,856",4th,Petrol,"17,999",298/month,Zero downpayment
367,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,"1,45,765",1st,Diesel,"46,599",710/month,Zero downpayment
368,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,"1,15,300",1st,Diesel,"34,299",436/month,Zero downpayment
369,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"33,039",1st,Petrol,"69,599",",446/month",Zero downpayment
370,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"1,26,169",1st,Diesel,"94,899",784/month,Zero downpayment
371,Maruti Swift,Maruti,VDI ,2015,Manual,"30,528",1st,Diesel,"65,099",",346/month",Zero downpayment
372,Honda Brio,Honda,1.2 S MT I VTEC ,2014,Manual,"26,081",1st,Petrol,"70,599",244/month,Zero downpayment
373,Maruti Alto K10,Maruti,VXI OPT ,2017,Manual,"40,539",1st,Petrol,"54,699",890/month,Zero downpayment
374,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"84,904",1st,Diesel,"34,999",676/month,Zero downpayment
375,Maruti Swift,Maruti,VDI ,2014,Manual,"1,07,030",1st,Diesel,"74,199",324/month,Zero downpayment
376,Maruti Swift,Maruti,VDI ,2014,Manual,"1,12,073",1st,Diesel,"83,699",535/month,Zero downpayment
377,Maruti Swift,Maruti,ZXI ,2014,Manual,"51,211",1st,Petrol,"62,699",",292/month",Zero downpayment
378,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"1,22,972",1st,Diesel,"88,799",649/month,Zero downpayment
379,Maruti Swift,Maruti,ZDI ,2014,Manual,"92,088",1st,Diesel,"20,799",360/month,Zero downpayment
380,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"1,04,093",1st,Diesel,"47,499",954/month,Zero downpayment
381,Maruti Eeco,Maruti,7 STR ,2019,Manual,"23,527",1st,Petrol,"05,799",027/month,Zero downpayment
382,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT ,2015,Manual,"27,155",2nd,Petrol,"50,499",",021/month",Zero downpayment
383,Maruti Alto K10,Maruti,VXI ,2017,Manual,"16,788",1st,Petrol,"40,299",570/month,Zero downpayment
384,Maruti Alto K10,Maruti,VXI ,2015,Manual,"25,636",1st,Petrol,"03,999",762/month,Zero downpayment
385,Maruti Alto K10,Maruti,VXI ,2018,Manual,"27,027",2nd,Petrol,"67,599",177/month,Zero downpayment
