,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment,city,state
3135,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2014,Manual,"48,753",2nd,Petrol,"2,87,499","6,395/month",Zero downpayment,Kolkata,West Bengal
3136,Maruti Swift Dzire,Maruti,VDI BS IV ,2013,Manual,"74,822",1st,Diesel,"3,82,999","8,520/month",Zero downpayment,Kolkata,West Bengal
3137,Hyundai Eon,Hyundai,D LITE PLUS ,2013,Manual,"35,184",2nd,Petrol,"2,14,599","4,774/month",Zero downpayment,Kolkata,West Bengal
3138,Maruti Swift,Maruti,VXI OPT ,2017,Manual,"31,188",1st,Petrol,"4,21,399","9,374/month",Zero downpayment,Kolkata,West Bengal
3139,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2014,Manual,"60,072",1st,Petrol,"3,14,599","6,998/month",Zero downpayment,Kolkata,West Bengal
3140,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2018,Manual,"35,222",2nd,Diesel,"7,30,299","16,245/month",Zero downpayment,Kolkata,West Bengal
3141,Tata Tiago,Tata,XZ+ 1.2 Revotron ,2019,Manual,"15,679",1st,Petrol,"5,17,099","11,503/month",Zero downpayment,Kolkata,West Bengal
3142,Maruti Dzire,Maruti,VXI ,2019,Manual,"10,793",1st,Petrol,"6,27,699","13,963/month",Zero downpayment,Kolkata,West Bengal
3143,Maruti Celerio,Maruti,VXI ,2015,Manual,"9,471",1st,Petrol,"3,83,099","8,522/month",Zero downpayment,Kolkata,West Bengal
3144,Maruti Celerio,Maruti,VXI ,2015,Manual,"19,886",1st,Petrol,"3,66,299","8,148/month",Zero downpayment,Kolkata,West Bengal
3145,Maruti Celerio,Maruti,VXI ,2015,Manual,"6,777",1st,Petrol,"3,70,999","8,253/month",Zero downpayment,Kolkata,West Bengal
3146,Maruti Alto 800,Maruti,LXI ,2013,Manual,"30,544",2nd,Petrol,"2,32,699","5,176/month",Zero downpayment,Kolkata,West Bengal
3147,Maruti Dzire,Maruti,VXI AMT ,2019,Automatic,"11,413",1st,Petrol,"6,41,999","14,281/month",Zero downpayment,Kolkata,West Bengal
3148,Maruti Alto K10,Maruti,LXI ,2012,Manual,"29,799",2nd,Petrol,"2,08,699","4,642/month",Zero downpayment,Kolkata,West Bengal
3149,Maruti Wagon R 1.0,Maruti,VXI ,2013,Manual,"29,524",1st,Petrol,"2,88,099","6,409/month",Zero downpayment,Kolkata,West Bengal
3150,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2015,Manual,"34,218",1st,Petrol,"5,64,299","12,553/month",Zero downpayment,Kolkata,West Bengal
3151,Maruti Swift,Maruti,VXI AMT ,2019,Automatic,"34,018",1st,Petrol,"6,00,899","13,367/month",Zero downpayment,Kolkata,West Bengal
3152,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2014,Manual,"8,014",1st,Petrol,"3,94,099","8,767/month",Zero downpayment,Kolkata,West Bengal
3153,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2015,Manual,"81,055",1st,Petrol,"2,86,699","6,377/month",Zero downpayment,Kolkata,West Bengal
3154,Maruti Alto K10,Maruti,LXI ,2012,Manual,"1,609",1st,Petrol,"2,17,099","4,829/month",Zero downpayment,Kolkata,West Bengal
3155,Renault Kwid,Renault,1.0 CLIMBER OPT ,2020,Manual,690,1st,Petrol,"4,32,699","9,625/month",Zero downpayment,Kolkata,West Bengal
3156,Hyundai Eon,Hyundai,GNA PLUS ,2017,Manual,"41,503",1st,Petrol,"2,99,699","6,667/month",Zero downpayment,Kolkata,West Bengal
3157,Maruti Alto 800,Maruti,LXI ,2018,Manual,"29,750",1st,Petrol,"2,80,599","6,242/month",Zero downpayment,Kolkata,West Bengal
3158,Hyundai Eon,Hyundai,GNA PLUS ,2017,Manual,"25,833",1st,Petrol,"3,06,199","6,811/month",Zero downpayment,Kolkata,West Bengal
3159,Maruti Wagon R 1.0,Maruti,VXI PLUS ,2017,Manual,"46,478",1st,Petrol,"3,56,399","7,928/month",Zero downpayment,Kolkata,West Bengal
3160,Maruti S PRESSO,Maruti,VXI PLUS ,2020,Manual,"4,021",1st,Petrol,"4,67,499","10,399/month",Zero downpayment,Kolkata,West Bengal
3161,Hyundai i10,Hyundai,GNA 1.1 IRDE2 ,2016,Manual,"16,014",1st,Petrol,"3,00,000","6,673/month",Zero downpayment,Kolkata,West Bengal
3162,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2019,Manual,"9,682",1st,Petrol,"5,12,299","11,396/month",Zero downpayment,Kolkata,West Bengal
3163,Maruti Alto K10,Maruti,VXI ,2016,Manual,"49,194",1st,Petrol,"2,76,399","6,148/month",Zero downpayment,Kolkata,West Bengal
3164,Maruti Alto 800,Maruti,LXI ,2014,Manual,"24,316",1st,Petrol,"2,31,199","5,143/month",Zero downpayment,Kolkata,West Bengal
3165,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2019,Manual,"19,168",1st,Petrol,"5,10,899","11,365/month",Zero downpayment,Kolkata,West Bengal
3166,Volkswagen Polo,Volkswagen,COMFORTLINE 1.2L PETROL ,2015,Manual,"29,732",1st,Petrol,"2,65,155","5,898/month",Zero downpayment,Kolkata,West Bengal
3167,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2019,Manual,"21,499",1st,Petrol,"5,33,899","11,876/month",Zero downpayment,Kolkata,West Bengal
3168,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2015,Manual,"34,200",1st,Petrol,"3,77,899","8,406/month",Zero downpayment,Kolkata,West Bengal
3169,Hyundai NEW SANTRO,Hyundai,1.1 MAGNA MT ,2019,Manual,"9,628",1st,Petrol,"4,30,299","9,572/month",Zero downpayment,Kolkata,West Bengal
3170,Maruti Alto K10,Maruti,VXI (O) AMT ,2018,Automatic,"11,081",1st,Petrol,"3,67,999","8,186/month",Zero downpayment,Kolkata,West Bengal
3171,Hyundai Grand i10,Hyundai,Sportz(O) 1.2 MT ,2017,Manual,"41,182",2nd,Petrol,"4,17,499","9,287/month",Zero downpayment,Kolkata,West Bengal
3172,Maruti Alto 800,Maruti,LXI ,2017,Manual,"23,793",1st,Petrol,"2,79,299","6,213/month",Zero downpayment,Kolkata,West Bengal
3173,Maruti Alto 800,Maruti,LXI ,2019,Manual,"7,646",1st,Petrol,"3,38,599","7,532/month",Zero downpayment,Kolkata,West Bengal
3174,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2017,Manual,"50,119",1st,Diesel,"6,00,000","13,347/month",Zero downpayment,Kolkata,West Bengal
3175,Hyundai Elite i20,Hyundai,STA 1.2 ,2015,Manual,"63,487",1st,Petrol,"4,06,755","9,048/month",Zero downpayment,Kolkata,West Bengal
3176,Maruti Swift,Maruti,VDI ,2007,Manual,"90,265",3rd,Diesel,"1,30,000","2,892/month",Zero downpayment,Kolkata,West Bengal
3177,Maruti S Cross,Maruti,ZETA 1.3 ,2016,Manual,"57,828",1st,Diesel,"5,50,000","12,234/month",Zero downpayment,Kolkata,West Bengal
3178,Maruti Wagon R,Maruti,LXI ,2001,,"72,000",2nd,Petrol,"38,000",845/month,Zero downpayment,Kolkata,West Bengal
3179,Hyundai Creta,Hyundai,1.4 BASE ,2016,Manual,"33,130",1st,Diesel,"8,50,000","18,908/month",Zero downpayment,Kolkata,West Bengal
3180,Honda City,Honda,S MT DIESEL ,2014,Manual,"61,643",3rd,Diesel,"5,00,000","11,122/month",Zero downpayment,Kolkata,West Bengal
3181,Maruti Wagon R,Maruti,LXI ,2006,Manual,"26,500",1st,Petrol,"1,00,000","2,224/month",Zero downpayment,Kolkata,West Bengal
3182,Honda City,Honda,S MT PETROL ,2010,Manual,"70,410",3rd,Petrol,"2,25,000","5,005/month",Zero downpayment,Kolkata,West Bengal
3183,Hyundai i20,Hyundai,GNA O 1.2 ,2010,Manual,"54,757",2nd,Petrol,"1,60,000","3,559/month",Zero downpayment,Kolkata,West Bengal
3184,BMW 3 Series,BMW,320D ,2012,Automatic,"23,782",2nd,Diesel,"12,00,000","26,693/month",Zero downpayment,Kolkata,West Bengal
3185,Ford New Figo,Ford,1.2 TREND ,2017,Manual,58,1st,Petrol,"4,20,699","9,358/month",Zero downpayment,Mumbai,Maharashtra
3186,Maruti Swift,Maruti,VDI ,2012,Manual,"69,711",2nd,Diesel,"4,09,599","9,111/month",Zero downpayment,Mumbai,Maharashtra
3187,Maruti Vitara Brezza,Maruti,ZXI+ AT SHVS ,2020,Automatic,"13,934",1st,Petrol,"11,31,099","25,161/month",Zero downpayment,Mumbai,Maharashtra
3188,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2018,Manual,"16,631",1st,Petrol,"8,11,899","18,060/month",Zero downpayment,Mumbai,Maharashtra
3189,Hyundai Tucson New,Hyundai,2WD AT GLS DIESEL ,2017,Automatic,"64,801",1st,Diesel,"16,66,499","37,070/month",Zero downpayment,Mumbai,Maharashtra
3190,Hyundai i20 Active,Hyundai,1.4 SX ,2015,Manual,"71,713",1st,Diesel,"6,35,199","14,130/month",Zero downpayment,Mumbai,Maharashtra
3191,Hyundai i20 Active,Hyundai,1.4 SX ,2015,Manual,"1,43,485",1st,Diesel,"6,28,099","13,972/month",Zero downpayment,Mumbai,Maharashtra
3192,Honda Civic,Honda,ZX CVT PETROL ,2019,Automatic,"29,075",1st,Petrol,"17,28,499","38,450/month",Zero downpayment,Mumbai,Maharashtra
3193,Honda Civic,Honda,ZX CVT PETROL ,2019,Automatic,"19,570",1st,Petrol,"18,39,699","40,923/month",Zero downpayment,Mumbai,Maharashtra
3194,Honda CRV,Honda,2.4 AWD AT ,2013,,"81,458",2nd,Petrol,"7,85,999","17,484/month",Zero downpayment,Mumbai,Maharashtra
3195,Tata ALTROZ,Tata,XZ 1.2 ,2020,Manual,"16,523",1st,Petrol,"8,48,299","18,870/month",Zero downpayment,Mumbai,Maharashtra
3196,Maruti New  Wagon-R,Maruti,VXI 1.0 ,2019,Manual,"9,608",1st,Petrol,"5,55,099","12,348/month",Zero downpayment,Mumbai,Maharashtra
3197,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,"52,988",1st,Diesel,"7,22,999","16,083/month",Zero downpayment,Mumbai,Maharashtra
3198,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"1,30,014",1st,Petrol,"5,16,699","11,494/month",Zero downpayment,Mumbai,Maharashtra
3199,Hyundai i20 Active,Hyundai,1.2 SX ,2017,Manual,"12,910",1st,Petrol,"6,32,399","14,067/month",Zero downpayment,Mumbai,Maharashtra
3200,Maruti Vitara Brezza,Maruti,VDI OPT ,2017,Manual,"46,304",1st,Diesel,"7,30,599","16,252/month",Zero downpayment,Mumbai,Maharashtra
3201,Jeep Compass,Jeep,2.0 LONGITUDE ,2017,Manual,"62,695",1st,Diesel,"13,58,799","30,226/month",Zero downpayment,Mumbai,Maharashtra
3202,Toyota Glanza,Toyota,G CVT ,2019,Automatic,"44,175",1st,Petrol,"7,85,599","17,475/month",Zero downpayment,Mumbai,Maharashtra
3203,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"11,691",1st,Petrol,"6,11,099","13,594/month",Zero downpayment,Mumbai,Maharashtra
3204,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"47,955",1st,Petrol,"6,04,899","13,456/month",Zero downpayment,Mumbai,Maharashtra
3205,Hyundai Verna,Hyundai,FLUIDIC 1.6 SX VTVT ,2017,Manual,"43,085",2nd,Petrol,"7,88,199","17,533/month",Zero downpayment,Mumbai,Maharashtra
3206,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"51,532",1st,Petrol,"5,81,899","12,944/month",Zero downpayment,Mumbai,Maharashtra
3207,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"40,087",1st,Petrol,"5,72,599","12,737/month",Zero downpayment,Mumbai,Maharashtra
3208,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"24,481",1st,Petrol,"6,23,999","13,881/month",Zero downpayment,Mumbai,Maharashtra
3209,Maruti Baleno,Maruti,LPHA DDIS 190 ,2016,Manual,"85,248",1st,Diesel,"6,54,999","14,570/month",Zero downpayment,Mumbai,Maharashtra
3210,Maruti Dzire,Maruti,VDI ,2017,Manual,"1,07,185",1st,Diesel,"6,95,799","15,478/month",Zero downpayment,Mumbai,Maharashtra
3211,Maruti Dzire,Maruti,VXI ,2018,Manual,"40,870",1st,Petrol,"7,04,199","15,665/month",Zero downpayment,Mumbai,Maharashtra
3212,Maruti Dzire,Maruti,VXI ,2018,Manual,"40,267",1st,Petrol,"6,94,899","15,458/month",Zero downpayment,Mumbai,Maharashtra
3213,Maruti Dzire,Maruti,VXI ,2018,Manual,"18,895",1st,Petrol,"7,04,199","15,665/month",Zero downpayment,Mumbai,Maharashtra
3214,Maruti Dzire,Maruti,VXI ,2018,Manual,"14,904",1st,Petrol,"7,04,199","15,665/month",Zero downpayment,Mumbai,Maharashtra
3215,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2018,Manual,"25,586",1st,Petrol,"8,16,099","18,154/month",Zero downpayment,Mumbai,Maharashtra
3216,Hyundai VENUE,Hyundai,1.0 TURBO GDI SX+ AT ,2020,Automatic,"21,526",1st,Petrol,"11,35,899","25,267/month",Zero downpayment,Mumbai,Maharashtra
3217,Tata NEXON,Tata,XZA + 1.2 PETROL A/T ,2021,Automatic,"6,352",1st,Petrol,"11,88,199","26,431/month",Zero downpayment,Mumbai,Maharashtra
3218,Maruti IGNIS,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"31,550",2nd,Petrol,"5,33,299","11,863/month",Zero downpayment,Mumbai,Maharashtra
