,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment,city,state
499,Maruti S PRESSO,Maruti,VXI ,2020,Manual,"23,068",2nd,Petrol,"88,899",651/month,Zero downpayment,Ahmedabad,Gujarat
500,Maruti Alto 800,Maruti,LXI ,2017,Manual,"79,235",1st,Petrol,"73,499",084/month,Zero downpayment,Ahmedabad,Gujarat
501,Hyundai Grand i10,Hyundai,GNA 1.2 VTVT ,2017,Manual,"9,940",1st,Petrol,"66,999",388/month,Zero downpayment,Ahmedabad,Gujarat
502,Hyundai Grand i10,Hyundai,STA 1.2 VTVT ,2017,Manual,"21,046",1st,Petrol,"41,999",056/month,Zero downpayment,Ahmedabad,Gujarat
503,Ford Ecosport,Ford,1.5 TDCI TITANIUM PLUS ,2018,Manual,"95,720",1st,Diesel,"50,099",686/month,Zero downpayment,Ahmedabad,Gujarat
504,Maruti Alto 800,Maruti,LXI ,2016,Manual,"1,01,906",1st,Petrol,"56,499",706/month,Zero downpayment,Ahmedabad,Gujarat
505,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2019,Manual,"57,864",1st,Petrol,"55,899",366/month,Zero downpayment,Ahmedabad,Gujarat
506,Maruti Vitara Brezza,Maruti,VDI ,2018,Manual,"72,378",1st,Diesel,"11,299",822/month,Zero downpayment,Ahmedabad,Gujarat
507,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2018,Manual,"57,458",1st,Petrol,"88,799",873/month,Zero downpayment,Ahmedabad,Gujarat
508,Maruti Celerio,Maruti,ZXI ,2019,Manual,"27,164",1st,Petrol,"57,599",179/month,Zero downpayment,Ahmedabad,Gujarat
509,Hyundai Grand i10,Hyundai,Sportz(O) 1.2 MT ,2017,Manual,"44,851",1st,Petrol,"40,699",028/month,Zero downpayment,Ahmedabad,Gujarat
510,Maruti Alto 800,Maruti,LXI ,2017,Manual,"55,904",1st,Petrol,"86,399",371/month,Zero downpayment,Ahmedabad,Gujarat
511,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2018,Manual,"1,31,657",1st,Diesel,"23,899",103/month,Zero downpayment,Ahmedabad,Gujarat
512,Maruti Swift,Maruti,VDI ABS ,2017,Manual,"1,20,109",1st,Diesel,"87,399",842/month,Zero downpayment,Ahmedabad,Gujarat
513,Maruti Alto 800,Maruti,LXI ,2018,Manual,"70,211",1st,Petrol,"89,899",449/month,Zero downpayment,Ahmedabad,Gujarat
514,Maruti Alto,Maruti,VXI ,2020,Manual,"12,571",1st,Petrol,"82,099",500/month,Zero downpayment,Ahmedabad,Gujarat
515,Maruti Wagon R 1.0,Maruti,VXI ,2017,Manual,"17,353",1st,Petrol,"49,799",006/month,Zero downpayment,Ahmedabad,Gujarat
516,Hyundai Grand i10,Hyundai,Sportz(O) 1.2 MT ,2017,Manual,"44,765",1st,Petrol,"35,699",916/month,Zero downpayment,Ahmedabad,Gujarat
517,Hyundai Grand i10,Hyundai,STA 1.2 AT VTVT ,2015,Automatic,"51,589",1st,Petrol,"79,799",673/month,Zero downpayment,Ahmedabad,Gujarat
518,Maruti S PRESSO,Maruti,VXI PLUS ,2020,Manual,"8,399",1st,Petrol,"30,499",576/month,Zero downpayment,Ahmedabad,Gujarat
519,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2018,Manual,"9,285",1st,Petrol,"98,499",089/month,Zero downpayment,Ahmedabad,Gujarat
520,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"1,60,633",1st,Petrol,"54,499",110/month,Zero downpayment,Ahmedabad,Gujarat
521,Maruti Alto 800,Maruti,LXI ,2017,Manual,"29,006",2nd,Petrol,"88,299",413/month,Zero downpayment,Ahmedabad,Gujarat
522,Maruti Alto 800,Maruti,LXI ,2018,Manual,"22,854",1st,Petrol,"89,899",449/month,Zero downpayment,Ahmedabad,Gujarat
523,Hyundai Grand i10,Hyundai,SPORTZ 1.1 CRDI ,2016,Manual,"44,143",2nd,Diesel,"11,499",154/month,Zero downpayment,Ahmedabad,Gujarat
524,Maruti Alto K10,Maruti,VXI ,2019,Manual,"29,272",1st,Petrol,"44,999",674/month,Zero downpayment,Ahmedabad,Gujarat
525,Maruti Alto 800,Maruti,VXI ,2018,Manual,"9,064",2nd,Petrol,"10,299",902/month,Zero downpayment,Ahmedabad,Gujarat
526,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"7,598",1st,Petrol,"32,199",614/month,Zero downpayment,Ahmedabad,Gujarat
527,Maruti Alto 800,Maruti,LXI ,2018,Manual,"43,366",1st,Petrol,"23,899",205/month,Zero downpayment,Ahmedabad,Gujarat
528,Maruti Alto 800,Maruti,LXI ,2018,Manual,"50,463",1st,Petrol,"18,199",078/month,Zero downpayment,Ahmedabad,Gujarat
529,Maruti Alto 800,Maruti,LXI ,2018,Manual,"52,303",1st,Petrol,"12,199",945/month,Zero downpayment,Ahmedabad,Gujarat
530,Maruti Alto 800,Maruti,LXI ,2017,Manual,"9,785",1st,Petrol,"20,399",127/month,Zero downpayment,Ahmedabad,Gujarat
531,Maruti Alto,Maruti,LXI ,2021,Manual,"11,698",1st,Petrol,"63,099",077/month,Zero downpayment,Ahmedabad,Gujarat
532,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"9,230",1st,Petrol,"32,199",614/month,Zero downpayment,Ahmedabad,Gujarat
533,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"80,770",1st,Petrol,"32,199",614/month,Zero downpayment,Ahmedabad,Gujarat
534,Maruti Alto 800,Maruti,LXI ,2018,Manual,"26,949",2nd,Petrol,"14,599",998/month,Zero downpayment,Ahmedabad,Gujarat
535,Maruti Alto,Maruti,LXI ,2021,Manual,"4,066",1st,Petrol,"84,299",549/month,Zero downpayment,Ahmedabad,Gujarat
536,Maruti Alto 800,Maruti,LXI ,2017,Manual,"29,961",1st,Petrol,"20,399",127/month,Zero downpayment,Ahmedabad,Gujarat
537,Maruti Alto 800,Maruti,VXI ,2019,Manual,"33,923",1st,Petrol,"25,299",236/month,Zero downpayment,Ahmedabad,Gujarat
538,Maruti Alto 800,Maruti,LXI ,2018,Manual,"20,431",1st,Petrol,"36,699",490/month,Zero downpayment,Ahmedabad,Gujarat
539,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2018,Manual,"44,000",1st,Diesel,"13,099",862/month,Zero downpayment,Ahmedabad,Gujarat
540,Hyundai GRAND I10 NIOS,Hyundai,SPORTZ 1.2 AT ,2020,Automatic,"15,755",1st,Petrol,"79,999",126/month,Zero downpayment,Ahmedabad,Gujarat
541,Hyundai i20 Active,Hyundai,1.4 SX ,2016,Manual,"46,853",1st,Diesel,"7,70,299","17,135/month",Zero downpayment,Bengaluru,Karnataka
542,Datsun Redi Go,Datsun,T (O) ,2017,Manual,"37,217",1st,Petrol,"3,11,399","6,927/month",Zero downpayment,Bengaluru,Karnataka
543,Ford Figo Aspire,Ford,1.2 TITANIUM PETROL ,2017,Manual,"22,645",1st,Petrol,"5,93,199","13,195/month",Zero downpayment,Bengaluru,Karnataka
544,Volkswagen Ameo,Volkswagen,HIGHLINE 1.5 ,2016,Manual,"56,225",1st,Diesel,"6,18,999","13,769/month",Zero downpayment,Bengaluru,Karnataka
545,Maruti Ertiga,Maruti,VDI ABS ,2015,Manual,"56,700",1st,Diesel,"7,90,199","17,578/month",Zero downpayment,Bengaluru,Karnataka
546,Mahindra Scorpio,Mahindra,S6 PLUS ,2017,Manual,"53,164",1st,Diesel,"11,20,399","24,923/month",Zero downpayment,Bengaluru,Karnataka
547,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2015,Manual,"93,028",1st,Diesel,"6,58,899","14,657/month",Zero downpayment,Bengaluru,Karnataka
548,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2016,Manual,"43,221",2nd,Diesel,"6,86,299","15,266/month",Zero downpayment,Bengaluru,Karnataka
549,Hyundai Creta,Hyundai,1.6 CRDI SX PLUS AUTO ,2017,Automatic,"45,447",1st,Diesel,"12,57,699","27,977/month",Zero downpayment,Bengaluru,Karnataka
550,Hyundai Elite i20,Hyundai,STA 1.2 ,2016,Manual,"30,731",2nd,Petrol,"7,17,999","15,971/month",Zero downpayment,Bengaluru,Karnataka
551,Hyundai Creta,Hyundai,1.6 SX CRDI ,2017,Manual,"46,963",1st,Diesel,"11,97,299","26,633/month",Zero downpayment,Bengaluru,Karnataka
552,Ford Figo Aspire,Ford,1.2 TREND PETROL ,2016,Manual,"38,435",1st,Petrol,"4,76,199","10,593/month",Zero downpayment,Bengaluru,Karnataka
553,Hyundai AURA,Hyundai,SX (O) MT ,2020,,"4,081",1st,Petrol,"7,88,899","17,549/month",Zero downpayment,Bengaluru,Karnataka
554,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"49,261",2nd,Petrol,"5,99,799","13,342/month",Zero downpayment,Bengaluru,Karnataka
555,Renault TRIBER,Renault,1.0 RXT ,2019,Manual,"28,621",2nd,Petrol,"6,41,999","14,281/month",Zero downpayment,Bengaluru,Karnataka
556,Toyota YARIS,Toyota,V MT ,2018,Manual,"36,132",1st,Petrol,"8,69,799","19,348/month",Zero downpayment,Bengaluru,Karnataka
557,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2017,Manual,"17,556",1st,Petrol,"5,35,899","11,921/month",Zero downpayment,Bengaluru,Karnataka
558,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"52,961",1st,Petrol,"7,06,499","15,716/month",Zero downpayment,Bengaluru,Karnataka
559,Honda Amaze,Honda,1.2 VXMT I VTEC ,2013,Manual,"47,501",2nd,Petrol,"5,07,999","11,300/month",Zero downpayment,Bengaluru,Karnataka
560,Hyundai i20 Active,Hyundai,1.2 SX ,2017,Manual,"34,999",1st,Petrol,"7,30,499","16,250/month",Zero downpayment,Bengaluru,Karnataka
561,Renault TRIBER,Renault,1.0 RXT ,2019,Manual,"41,239",1st,Petrol,"6,61,599","14,717/month",Zero downpayment,Bengaluru,Karnataka
562,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2016,Manual,"28,589",2nd,Petrol,"5,01,899","11,164/month",Zero downpayment,Bengaluru,Karnataka
563,Honda City,Honda,S MT PETROL ,2014,Manual,"57,778",1st,Petrol,"6,61,399","14,712/month",Zero downpayment,Bengaluru,Karnataka
564,Ford Figo,Ford,1.2 TITANIUM DURATEC ,2013,Manual,"31,710",1st,Petrol,"4,09,299","9,105/month",Zero downpayment,Bengaluru,Karnataka
565,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2017,Manual,"29,132",1st,Petrol,"5,40,399","12,021/month",Zero downpayment,Bengaluru,Karnataka
566,Honda Jazz,Honda,1.2 V MT ,2016,Manual,"27,819",1st,Petrol,"6,70,499","14,915/month",Zero downpayment,Bengaluru,Karnataka
567,Honda Jazz,Honda,1.2 S AT ,2016,Automatic,"47,947",2nd,Petrol,"6,65,799","14,810/month",Zero downpayment,Bengaluru,Karnataka
568,Hyundai i20,Hyundai,SPORTZ 1.4 AT VTVT ,2013,Automatic,"50,903",1st,Petrol,"5,40,799","12,030/month",Zero downpayment,Bengaluru,Karnataka
569,Honda City,Honda,V MT PETROL ,2014,Manual,"68,519",2nd,Petrol,"6,43,499","14,314/month",Zero downpayment,Bengaluru,Karnataka
570,Renault Duster,Renault,RXS CVT 106 PS ,2018,Automatic,"16,936",1st,Petrol,"9,82,799","21,862/month",Zero downpayment,Bengaluru,Karnataka
571,Audi A6,Audi,35 TDI S LINE ,2014,Automatic,"73,443",1st,Diesel,"19,22,899","42,774/month",Zero downpayment,Bengaluru,Karnataka
572,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2014,Manual,"37,993",1st,Petrol,"4,93,499","10,978/month",Zero downpayment,Bengaluru,Karnataka
573,Maruti Alto 800,Maruti,LXI ,2012,Manual,"28,154",2nd,Petrol,"2,49,199","5,543/month",Zero downpayment,Bengaluru,Karnataka
574,MG HECTOR PLUS,MG,SHARP HYBRID PETROL ,2020,Manual,"6,393",1st,Petrol,"19,49,699","43,370/month",Zero downpayment,Bengaluru,Karnataka
575,Hyundai Elite i20,Hyundai,1.4 CRDI ASTA (O) ,2017,Manual,"1,00,703",1st,Diesel,"7,00,799","15,589/month",Zero downpayment,Bengaluru,Karnataka
576,Mahindra XUV500,Mahindra,W8 FWD ,2017,Manual,"45,362",1st,Diesel,"13,40,999","29,830/month",Zero downpayment,Bengaluru,Karnataka
577,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,"40,525",2nd,Petrol,"4,24,099","9,434/month",Zero downpayment,Bengaluru,Karnataka
578,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT ,2018,Automatic,"12,850",1st,Petrol,"5,83,099","12,971/month",Zero downpayment,Bengaluru,Karnataka
579,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2018,Manual,"48,619",1st,Petrol,"4,82,799","10,740/month",Zero downpayment,Bengaluru,Karnataka
580,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2016,Automatic,"33,589",2nd,Petrol,"7,19,499","16,005/month",Zero downpayment,Bengaluru,Karnataka
581,Datsun Redi Go,Datsun,1.0 S AT ,2018,,"21,745",1st,Petrol,"3,99,499","8,887/month",Zero downpayment,Bengaluru,Karnataka
582,Datsun Redi Go,Datsun,1.0 S AT ,2018,Automatic,"26,527",1st,Petrol,"4,19,499","9,332/month",Zero downpayment,Bengaluru,Karnataka
583,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2018,Automatic,"35,691",2nd,Petrol,"9,26,399","20,607/month",Zero downpayment,Bengaluru,Karnataka
584,Hyundai NEW SANTRO,Hyundai,1.1 MAGNA MT ,2019,Manual,"10,782",1st,Petrol,"5,51,999","12,279/month",Zero downpayment,Bengaluru,Karnataka
585,Maruti Swift,Maruti,VXI ,2011,Manual,"57,742",1st,Petrol,"3,73,099","8,299/month",Zero downpayment,Bengaluru,Karnataka
586,Hyundai NEW SANTRO,Hyundai,ERA 1.1 ,2019,Manual,"22,331",1st,Petrol,"4,76,899","10,608/month",Zero downpayment,Bengaluru,Karnataka
587,Maruti OMNI E,Maruti,STD ,2017,Manual,"41,869",1st,Petrol,"3,54,799","7,892/month",Zero downpayment,Bengaluru,Karnataka
588,Hyundai Eon,Hyundai,D LITE PLUS ,2015,Manual,"53,997",1st,Petrol,"3,04,099","6,765/month",Zero downpayment,Bengaluru,Karnataka
589,Maruti Swift,Maruti,VXI ,2015,Manual,"44,522",2nd,Petrol,"5,15,599","11,469/month",Zero downpayment,Bengaluru,Karnataka
590,Maruti Swift,Maruti,ZDI AMT ,2018,Automatic,"50,630",1st,Diesel,"7,66,599","17,053/month",Zero downpayment,Bengaluru,Karnataka
591,Maruti Swift,Maruti,VXI ,2014,Manual,"51,290",1st,Petrol,"4,93,499","10,978/month",Zero downpayment,Bengaluru,Karnataka
592,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,,"13,993",1st,Petrol,"4,72,599","10,513/month",Zero downpayment,Bengaluru,Karnataka
593,Maruti Swift,Maruti,VXI ,2014,Manual,"40,846",1st,Petrol,"4,93,499","10,978/month",Zero downpayment,Bengaluru,Karnataka
594,Renault Kwid,Renault,RXL1.0 EASY-R AT ,2017,Automatic,"26,371",1st,Petrol,"4,22,999","9,409/month",Zero downpayment,Bengaluru,Karnataka
595,Maruti Swift,Maruti,VXI ,2015,Manual,"38,049",1st,Petrol,"5,22,999","11,634/month",Zero downpayment,Bengaluru,Karnataka
596,Honda Brio,Honda,1.2 S MT I VTEC ,2016,Manual,"26,015",1st,Petrol,"4,55,299","10,128/month",Zero downpayment,Bengaluru,Karnataka
597,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,,"18,379",1st,Petrol,"4,78,999","10,655/month",Zero downpayment,Bengaluru,Karnataka
598,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2018,Manual,"42,934",1st,Petrol,"5,62,999","12,524/month",Zero downpayment,Bengaluru,Karnataka
599,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2018,Manual,"27,664",2nd,Petrol,"5,62,999","12,524/month",Zero downpayment,Bengaluru,Karnataka
600,Renault Kwid,Renault,RXL1.0 EASY-R AT ,2017,Automatic,"15,883",1st,Petrol,"4,22,999","9,409/month",Zero downpayment,Bengaluru,Karnataka
601,Renault Kwid,Renault,RXL1.0 EASY-R AT ,2017,Automatic,"18,163",1st,Petrol,"4,22,999","9,409/month",Zero downpayment,Bengaluru,Karnataka
602,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2018,Manual,"30,545",1st,Petrol,"5,37,499","11,956/month",Zero downpayment,Bengaluru,Karnataka
603,Renault Kwid,Renault,1.0 RXT ,2018,Manual,"32,381",1st,Petrol,"3,84,899","8,562/month",Zero downpayment,Bengaluru,Karnataka
604,Hyundai Eon,Hyundai,GNA PLUS ,2014,Manual,"56,213",2nd,Petrol,"3,23,399","7,194/month",Zero downpayment,Bengaluru,Karnataka
605,Honda Brio,Honda,1.2 VX MT I VTEC ,2013,Manual,"50,160",2nd,Petrol,"4,00,999","8,920/month",Zero downpayment,Bengaluru,Karnataka
606,Hyundai Eon,Hyundai,GNA PLUS ,2014,Manual,"78,895",1st,Petrol,"3,23,399","7,194/month",Zero downpayment,Bengaluru,Karnataka
607,Hyundai Grand i10,Hyundai,STA 1.2 VTVT ,2019,Manual,"14,712",3rd,Petrol,"6,27,799","13,965/month",Zero downpayment,Bengaluru,Karnataka
608,Hyundai Grand i10,Hyundai,STA 1.2 VTVT ,2017,Manual,"27,787",1st,Petrol,"5,96,999","13,280/month",Zero downpayment,Bengaluru,Karnataka
609,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2016,Manual,"35,640",2nd,Petrol,"4,27,599","9,512/month",Zero downpayment,Bengaluru,Karnataka
610,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"43,883",3rd,Petrol,"3,83,899","8,540/month",Zero downpayment,Bengaluru,Karnataka
611,Renault Kwid,Renault,RXL ,2019,Manual,"17,357",1st,Petrol,"4,26,099","9,478/month",Zero downpayment,Bengaluru,Karnataka
612,Hyundai Grand i10,Hyundai,STA 1.2 (O) VTVT ,2016,Manual,"29,361",1st,Petrol,"5,44,499","12,112/month",Zero downpayment,Bengaluru,Karnataka
613,Maruti Ritz,Maruti,VXI BS IV ,2014,Manual,"70,857",1st,Petrol,"4,09,699","9,114/month",Zero downpayment,Bengaluru,Karnataka
614,Hyundai i10,Hyundai,SPORTZ 1.2 AT KAPPA2 ,2013,Automatic,"47,110",2nd,Petrol,"3,97,299","8,838/month",Zero downpayment,Bengaluru,Karnataka
615,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"73,116",1st,Petrol,"4,19,499","9,332/month",Zero downpayment,Bengaluru,Karnataka
616,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,"78,101",1st,Petrol,"3,96,199","8,813/month",Zero downpayment,Bengaluru,Karnataka
617,Maruti Alto K10,Maruti,VXI ,2012,Manual,"49,493",1st,Petrol,"2,97,699","6,622/month",Zero downpayment,Bengaluru,Karnataka
618,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"12,154",1st,Petrol,"4,99,299","11,107/month",Zero downpayment,Bengaluru,Karnataka
619,Tata Nano,Tata,XT TWIST ,2015,Manual,"39,703",1st,Petrol,"1,86,399","4,146/month",Zero downpayment,Bengaluru,Karnataka
620,Maruti Celerio,Maruti,VXI AMT ,2016,Automatic,"42,560",1st,Petrol,"4,47,999","9,965/month",Zero downpayment,Bengaluru,Karnataka
621,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"48,272",1st,Petrol,"4,19,899","9,340/month",Zero downpayment,Bengaluru,Karnataka
622,Maruti Alto 800,Maruti,LXI ,2016,Manual,"36,306",1st,Petrol,"3,16,799","7,047/month",Zero downpayment,Bengaluru,Karnataka
623,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"14,651",1st,Petrol,"4,51,499","10,043/month",Zero downpayment,Bengaluru,Karnataka
624,Maruti Alto K10,Maruti,VXI AMT ,2019,Automatic,"14,179",1st,Petrol,"5,07,999","11,300/month",Zero downpayment,Bengaluru,Karnataka
625,Maruti Alto K10,Maruti,VXI ,2016,Manual,"37,041",1st,Petrol,"3,75,599","8,355/month",Zero downpayment,Bengaluru,Karnataka
626,Maruti Alto K10,Maruti,VXI ,2015,Manual,"21,377",1st,Petrol,"3,75,299","8,348/month",Zero downpayment,Bengaluru,Karnataka
627,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,"46,178",3rd,Petrol,"3,99,199","8,880/month",Zero downpayment,Bengaluru,Karnataka
628,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"31,773",1st,Petrol,"4,31,899","9,607/month",Zero downpayment,Bengaluru,Karnataka
629,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"28,382",1st,Petrol,"4,67,099","10,390/month",Zero downpayment,Bengaluru,Karnataka
630,Honda Amaze,Honda,1.2 EXMT I VTEC ,2014,Manual,"58,249",2nd,Petrol,"4,57,799","10,183/month",Zero downpayment,Bengaluru,Karnataka
631,Maruti Alto K10,Maruti,VXI (O) AMT ,2016,Automatic,"24,993",1st,Petrol,"4,27,499","9,509/month",Zero downpayment,Bengaluru,Karnataka
632,Maruti Vitara Brezza,Maruti,ZDI + AMT ,2018,Automatic,"39,342",2nd,Diesel,"9,30,399","20,696/month",Zero downpayment,Bengaluru,Karnataka
633,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2016,Manual,"47,786",1st,Petrol,"4,34,499","9,665/month",Zero downpayment,Bengaluru,Karnataka
634,Maruti Alto K10,Maruti,VXI OPT ,2016,Manual,"34,154",2nd,Petrol,"3,54,299","7,881/month",Zero downpayment,Bengaluru,Karnataka
635,Maruti Swift,Maruti,VXI ,2014,Manual,"59,853",1st,Petrol,"4,93,499","10,978/month",Zero downpayment,Bengaluru,Karnataka
636,Maruti Ertiga,Maruti,ZDI ,2014,Manual,"1,36,879",1st,Diesel,"6,33,799","14,099/month",Zero downpayment,Bengaluru,Karnataka
637,Hyundai Elite i20,Hyundai,STA 1.2 ,2015,Manual,"1,02,624",1st,Petrol,"5,78,899","12,877/month",Zero downpayment,Bengaluru,Karnataka
638,Ford FREESTYLE,Ford,TITANIUM 1.2 TI-VCT MT ,2018,,"31,061",1st,Petrol,"6,56,299","14,599/month",Zero downpayment,Bengaluru,Karnataka
639,Hyundai Tucson New,Hyundai,4WD AT GLS DIESEL ,2017,Automatic,"58,222",2nd,Diesel,"20,28,599","45,125/month",Zero downpayment,Bengaluru,Karnataka
640,Ford FREESTYLE,Ford,TITANIUM 1.2 TI-VCT MT ,2018,Manual,"12,414",1st,Petrol,"7,00,299","15,578/month",Zero downpayment,Bengaluru,Karnataka
641,Maruti Zen Estilo,Maruti,VXI ,2008,Manual,"60,927",1st,Petrol,"2,51,799","5,601/month",Zero downpayment,Bengaluru,Karnataka
642,Honda City,Honda,V MT PETROL ,2017,Manual,"47,252",1st,Petrol,"8,24,499","18,341/month",Zero downpayment,Bengaluru,Karnataka
643,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"14,600",1st,Petrol,"4,27,899","9,518/month",Zero downpayment,Bengaluru,Karnataka
644,Honda Jazz,Honda,1.2 BASE I VTEC ,2009,Manual,"1,06,753",2nd,Petrol,"3,23,099","7,187/month",Zero downpayment,Bengaluru,Karnataka
645,Renault Kwid,Renault,RXT 1.0 EASY-R  AT ,2016,Automatic,"44,324",2nd,Petrol,"3,86,499","8,597/month",Zero downpayment,Bengaluru,Karnataka
646,Maruti Ritz,Maruti,LXI ,2010,Manual,"59,705",2nd,Petrol,"3,14,399","6,994/month",Zero downpayment,Bengaluru,Karnataka
647,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"46,375",1st,Petrol,"6,69,799","14,899/month",Zero downpayment,Bengaluru,Karnataka
648,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2021,Manual,"3,201",1st,Petrol,"8,55,699","19,035/month",Zero downpayment,Bengaluru,Karnataka
649,Maruti Baleno,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"53,608",3rd,Petrol,"6,74,999","15,015/month",Zero downpayment,Bengaluru,Karnataka
650,Tata NEXON,Tata,XZ+ 1.2 ,2020,Manual,"12,978",2nd,Petrol,"10,43,299","23,208/month",Zero downpayment,Bengaluru,Karnataka
651,Volkswagen Polo,Volkswagen,COMFORTLINE 1.2L PETROL ,2016,Manual,"35,519",1st,Petrol,"5,53,399","12,310/month",Zero downpayment,Bengaluru,Karnataka
652,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2013,Manual,"78,438",2nd,Diesel,"6,23,499","13,869/month",Zero downpayment,Bengaluru,Karnataka
653,Ford Figo Aspire,Ford,1.2 TITANIUM PETROL ,2017,Manual,"14,252",1st,Petrol,"6,01,499","13,380/month",Zero downpayment,Bengaluru,Karnataka
654,Maruti Dzire,Maruti,VXI ,2018,Manual,"9,655",1st,Petrol,"6,82,999","15,193/month",Zero downpayment,Bengaluru,Karnataka
655,Mahindra XUV 3OO,Mahindra,W8 (O) DIESEL  AT ,2020,Automatic,"23,130",1st,Diesel,"15,43,599","34,337/month",Zero downpayment,Bengaluru,Karnataka
656,Honda Amaze,Honda,1.2 VXMT I VTEC ,2019,Manual,"16,418",1st,Petrol,"7,89,899","17,571/month",Zero downpayment,Bengaluru,Karnataka
657,Ford Figo,Ford,1.2 TITANIUM DURATEC ,2013,Manual,"40,970",1st,Petrol,"4,09,299","9,105/month",Zero downpayment,Bengaluru,Karnataka
658,Honda City,Honda,S MT PETROL ,2013,Manual,"90,128",1st,Petrol,"5,15,099","11,458/month",Zero downpayment,Bengaluru,Karnataka
659,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA ,2020,Manual,"7,415",1st,Petrol,"8,54,099","18,999/month",Zero downpayment,Bengaluru,Karnataka
660,Maruti IGNIS,Maruti,ZETA 1.2 K12 ,2018,Manual,"73,599",1st,Petrol,"5,25,899","11,698/month",Zero downpayment,Bengaluru,Karnataka
661,Maruti Celerio,Maruti,VXI ,2014,Manual,"61,223",1st,Petrol,"4,14,399","9,218/month",Zero downpayment,Bengaluru,Karnataka
662,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2015,Automatic,"76,180",2nd,Petrol,"6,71,099","14,928/month",Zero downpayment,Bengaluru,Karnataka
663,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2019,Manual,"16,387",1st,Petrol,"5,22,599","11,625/month",Zero downpayment,Bengaluru,Karnataka
664,Maruti S PRESSO,Maruti,VXI (O) ,2019,Manual,"14,568",2nd,Petrol,"4,33,899","9,652/month",Zero downpayment,Bengaluru,Karnataka
665,Hyundai Eon,Hyundai,D LITE PLUS ,2015,Manual,"28,640",2nd,Petrol,"3,04,099","6,765/month",Zero downpayment,Bengaluru,Karnataka
666,Jeep Compass,Jeep,2.0 LIMITED PLUS ,2019,Manual,"15,386",2nd,Diesel,"19,89,699","44,260/month",Zero downpayment,Bengaluru,Karnataka
667,Maruti Swift,Maruti,VXI ,2015,Manual,"51,095",1st,Petrol,"5,22,999","11,634/month",Zero downpayment,Bengaluru,Karnataka
668,Hyundai i20,Hyundai,SPORTZ 1.4 AT VTVT ,2013,Automatic,"76,298",2nd,Petrol,"4,94,299","10,995/month",Zero downpayment,Bengaluru,Karnataka
