,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
516,Maruti S PRESSO,Maruti,VXI PLUS AGS ,2020,Automatic,"6,200",1st,Petrol,"5,20,399","11,576/month",Zero downpayment
517,Maruti Swift,Maruti,VXI ,2014,Manual,"56,520",2nd,Petrol,"3,96,099","8,811/month",Zero downpayment
518,Volkswagen Polo,Volkswagen,HIGHLINE1.2L PETROL ,2014,Manual,"56,602",1st,Petrol,"4,46,099","9,923/month",Zero downpayment
519,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2016,Automatic,"25,396",1st,Petrol,"6,73,499","14,982/month",Zero downpayment
520,Honda City,Honda,S MT PETROL ,2014,Manual,"69,437",1st,Petrol,"5,39,299","11,996/month",Zero downpayment
521,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2015,Manual,"23,070",2nd,Petrol,"4,74,299","10,551/month",Zero downpayment
522,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,"55,046",1st,Petrol,"3,16,799","7,047/month",Zero downpayment
523,Maruti Dzire,Maruti,ZXI AMT ,2019,Automatic,"3,202",1st,Petrol,"7,75,099","17,242/month",Zero downpayment
524,Maruti Vitara Brezza,Maruti,ZDI AMT ,2019,Automatic,"14,616",2nd,Diesel,"9,38,799","20,883/month",Zero downpayment
525,Maruti Baleno,Maruti,ZETA 1.2 K12 AMT ,2019,Automatic,"2,394",1st,Petrol,"7,37,099","16,396/month",Zero downpayment
526,Maruti A Star,Maruti,VXI ABS AT ,2013,Automatic,"24,441",1st,Petrol,"3,06,099","6,809/month",Zero downpayment
527,Maruti Alto K10,Maruti,VXI ,2015,Manual,"43,764",1st,Petrol,"3,12,399","6,949/month",Zero downpayment
528,Hyundai i10,Hyundai,GNA 1.1 IRDE2 ,2014,Manual,"13,068",1st,Petrol,"3,65,299","8,126/month",Zero downpayment
529,Maruti Celerio,Maruti,ZXI AMT ,2016,Automatic,"41,191",1st,Petrol,"4,61,499","10,266/month",Zero downpayment
530,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,"15,666",1st,Petrol,"6,96,799","15,500/month",Zero downpayment
531,Maruti Dzire,Maruti,VXI AMT ,2017,Automatic,"19,822",1st,Petrol,"6,54,399","14,557/month",Zero downpayment
532,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2015,Manual,"76,220",1st,Diesel,"6,07,199","13,507/month",Zero downpayment
533,Toyota Etios,Toyota,V ,2011,Manual,"66,674",1st,Petrol,"3,24,099","7,209/month",Zero downpayment
534,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2014,Manual,"95,703",1st,Diesel,"5,36,899","11,943/month",Zero downpayment
535,Hyundai Tucson New,Hyundai,2WD AT GLS DIESEL ,2016,Automatic,"62,779",1st,Diesel,"14,16,499","31,509/month",Zero downpayment
536,Hyundai Creta,Hyundai,1.6 SX (O) CRDI ,2015,Manual,"99,645",1st,Diesel,"8,23,599","18,321/month",Zero downpayment
537,Jeep Compass,Jeep,2.0 LIMITED ,2017,Manual,"26,387",2nd,Diesel,"13,40,399","29,816/month",Zero downpayment
538,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA ,2021,Manual,"11,197",1st,Petrol,"8,58,299","19,092/month",Zero downpayment
539,Hyundai Creta,Hyundai,1.6 SX CRDI ,2015,Manual,"1,10,584",1st,Diesel,"8,41,999","18,730/month",Zero downpayment
540,Hyundai Elite i20,Hyundai,GNA 1.2 ,2016,Manual,"67,589",2nd,Petrol,"5,11,599","11,380/month",Zero downpayment
541,Tata Hexa,Tata,Varicor 400 XTA ,2018,Automatic,"44,942",1st,Diesel,"13,22,199","29,412/month",Zero downpayment
542,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2015,Manual,"32,718",2nd,Petrol,"5,49,699","12,228/month",Zero downpayment
543,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2017,Manual,"37,871",1st,Petrol,"7,05,599","15,696/month",Zero downpayment
544,Honda Amaze,Honda,1.2 SMT I VTEC ,2014,Manual,"57,697",2nd,Petrol,"4,13,699","9,203/month",Zero downpayment
545,Maruti S Cross,Maruti,DELTA 1.3 ,2017,Manual,"43,867",1st,Diesel,"7,89,799","17,569/month",Zero downpayment
546,Honda Amaze,Honda,1.2 SMT I VTEC ,2013,Manual,"12,578",1st,Petrol,"4,31,899","9,607/month",Zero downpayment
547,Hyundai Elite i20,Hyundai,GNA 1.2 ,2014,Manual,"45,800",1st,Petrol,"4,88,899","10,875/month",Zero downpayment
548,Jeep Compass,Jeep,2.0 LONGITUDE ,2017,Manual,"28,835",1st,Diesel,"13,83,799","30,782/month",Zero downpayment
549,Maruti Dzire,Maruti,VXI ,2018,Manual,"19,340",2nd,Petrol,"6,70,999","14,926/month",Zero downpayment
550,Maruti Dzire,Maruti,ZXI AMT ,2018,Automatic,"29,533",2nd,Petrol,"6,90,099","15,351/month",Zero downpayment
551,Maruti Dzire,Maruti,VXI ,2018,Manual,"6,778",1st,Petrol,"6,90,899","15,369/month",Zero downpayment
552,Maruti Baleno,Maruti,ZETA 1.2 K12 CVT ,2016,Automatic,"42,062",1st,Petrol,"6,26,099","13,927/month",Zero downpayment
553,Maruti S Cross,Maruti,DELTA 1.3 ,2017,Manual,"1,03,773",1st,Diesel,"6,36,799","14,165/month",Zero downpayment
554,Maruti Dzire,Maruti,VDI ,2017,Manual,"49,534",1st,Diesel,"7,06,299","15,711/month",Zero downpayment
555,Maruti Dzire,Maruti,ZXI ,2017,Manual,"24,763",1st,Petrol,"7,08,899","15,769/month",Zero downpayment
556,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"54,083",1st,Petrol,"5,62,699","12,517/month",Zero downpayment
557,Honda WR-V,Honda,1.5 i-DTEC VX MT ,2018,Manual,"65,894",1st,Diesel,"8,44,199","18,779/month",Zero downpayment
558,Honda Civic,Honda,VX CVT i-VTEC ,2019,,"13,679",1st,Petrol,"19,15,999","42,620/month",Zero downpayment
559,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2017,Manual,"28,470",1st,Petrol,"5,33,099","11,858/month",Zero downpayment
560,Maruti IGNIS,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"28,871",1st,Petrol,"5,58,299","12,419/month",Zero downpayment
561,Hyundai VENUE,Hyundai,SX(O) CRDi ,2019,Manual,"95,765",1st,Diesel,"9,96,299","22,162/month",Zero downpayment
562,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2017,Manual,"20,947",1st,Petrol,"5,03,899","11,209/month",Zero downpayment
563,Hyundai Eon,Hyundai,D LITE PLUS(O) ,2016,Manual,"43,217",1st,Petrol,"2,91,399","6,482/month",Zero downpayment
564,Maruti Celerio,Maruti,VXI ,2014,Manual,"49,448",1st,Petrol,"3,91,299","8,704/month",Zero downpayment
565,Renault Duster,Renault,RXZ ,2020,Manual,"16,887",1st,Petrol,"9,98,999","22,222/month",Zero downpayment
566,Hyundai Verna,Hyundai,1.4 VTVT EX ,2019,Manual,"11,770",1st,Petrol,"9,02,399","20,073/month",Zero downpayment
567,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2017,Manual,"24,904",1st,Petrol,"4,78,099","10,635/month",Zero downpayment
568,Hyundai Elite i20,Hyundai,STA 1.2 ,2016,Manual,"37,421",1st,Petrol,"6,15,999","13,703/month",Zero downpayment
569,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2014,Manual,"41,147",1st,Petrol,"4,36,099","9,701/month",Zero downpayment
570,Maruti IGNIS,Maruti,ZETA 1.2 K12 AMT ,2018,Automatic,"2,377",1st,Petrol,"6,06,399","13,489/month",Zero downpayment
