,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
467,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2018,Manual,"15,110",1st,Petrol,"28,899",",765/month",Zero downpayment
468,Honda Brio,Honda,1.2 S MT I VTEC ,2014,Manual,"56,279",1st,Petrol,"50,099",788/month,Zero downpayment
469,Maruti Wagon R 1.0,Maruti,VXI AMT ,2018,Automatic,"67,022",1st,Petrol,"15,199",236/month,Zero downpayment
470,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2015,Automatic,"39,299",2nd,Petrol,"35,599",",139/month",Zero downpayment
471,Maruti Swift,Maruti,ZXI PLUS AMT ,2018,Automatic,"49,624",1st,Petrol,"97,299",",511/month",Zero downpayment
472,Hyundai Elite i20,Hyundai,1.4 SPORTS PLUS CRDI ,2019,Manual,"40,106",1st,Diesel,"44,999",",797/month",Zero downpayment
473,Hyundai Creta,Hyundai,1.6 VTVT SX AUTO ,2018,Automatic,"69,711",1st,Petrol,",73,699",",557/month",Zero downpayment
474,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"29,801",1st,Petrol,"08,799",",542/month",Zero downpayment
475,Maruti Dzire,Maruti,VXI ,2019,Manual,"29,594",1st,Petrol,"02,999",",638/month",Zero downpayment
476,Skoda Octavia,Skoda,LK 1.8 TSI AT ,2018,Automatic,"7,762",1st,Petrol,",73,199",",668/month",Zero downpayment
477,Maruti Wagon R 1.0,Maruti,VXI ,2015,Manual,"67,888",1st,Petrol,"95,999",809/month,Zero downpayment
478,Mahindra XUV500,Mahindra,W11 (O) AT ,2018,Automatic,"44,721",1st,Diesel,",32,799",",096/month",Zero downpayment
479,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"10,246",1st,Petrol,"86,599",",273/month",Zero downpayment
480,Ford Ecosport,Ford,1.0 ECOBOOST TITANIUM SPORTS(SUNROOF) ,2018,Manual,"17,005",2nd,Petrol,"32,799",",750/month",Zero downpayment
481,Toyota Corolla Altis,Toyota,VL AT ,2017,Automatic,"34,849",2nd,Petrol,",52,999",",872/month",Zero downpayment
482,Maruti Swift Dzire,Maruti,VDI BS IV ,2016,Manual,"37,551",1st,Diesel,"08,199",",529/month",Zero downpayment
483,Maruti Vitara Brezza,Maruti,VDI ,2018,Manual,"69,376",1st,Diesel,"97,799",",747/month",Zero downpayment
484,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2019,Manual,"18,284",1st,Petrol,"93,099",",866/month",Zero downpayment
485,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2018,Manual,"50,272",1st,Petrol,"14,499",",445/month",Zero downpayment
486,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"30,854",1st,Petrol,"66,299",",821/month",Zero downpayment
487,Maruti Celerio,Maruti,VXI AMT ,2016,Automatic,"34,999",2nd,Petrol,"87,099",611/month,Zero downpayment
488,Volkswagen Polo,Volkswagen,GT TSI 1.2 PETROL AT ,2015,Automatic,"50,328",4th,Petrol,"40,799",",030/month",Zero downpayment
489,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2017,Manual,"20,393",1st,Petrol,"94,099",",991/month",Zero downpayment
490,Maruti Swift Dzire,Maruti,VDI BS IV ,2013,Manual,"87,964",1st,Diesel,"74,699",",559/month",Zero downpayment
491,Maruti Vitara Brezza,Maruti,ZDI+ DUAL TONE AMT ,2018,Automatic,"32,456",1st,Diesel,",61,399",",610/month",Zero downpayment
492,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2018,Automatic,"20,619",1st,Petrol,"25,699",",592/month",Zero downpayment
493,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"18,408",2nd,Petrol,"41,099",",261/month",Zero downpayment
494,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT ,2015,Manual,"63,175",3rd,Petrol,"32,099",612/month,Zero downpayment
495,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2015,Manual,"29,762",1st,Petrol,"33,999",654/month,Zero downpayment
496,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2015,Manual,"30,127",1st,Petrol,"33,999",654/month,Zero downpayment
497,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"33,565",2nd,Petrol,"27,199",503/month,Zero downpayment
498,Renault Kwid,Renault,RXT 1.0 EASY-R AT OPTION ,2018,Automatic,"8,054",1st,Petrol,"71,399",",486/month",Zero downpayment
499,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2019,Manual,"10,458",1st,Petrol,"11,999",",838/month",Zero downpayment
500,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2015,Manual,"33,678",1st,Petrol,"33,999",654/month,Zero downpayment
501,Maruti Alto K10,Maruti,VXI ,2015,Manual,"64,611",1st,Petrol,"29,599",332/month,Zero downpayment
502,Hyundai Grand i10,Hyundai,SPORTZ (O) 1.2 AT VTVT ,2017,Automatic,"11,203",1st,Petrol,"38,599",",205/month",Zero downpayment
503,Maruti Alto 800,Maruti,LXI OPT ,2017,Manual,"54,305",1st,Petrol,"02,999",740/month,Zero downpayment
504,Renault Kwid,Renault,RXT 1.0 EASY-R AT OPTION ,2018,Automatic,"12,257",1st,Petrol,"03,199",969/month,Zero downpayment
505,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"27,787",1st,Petrol,"94,199",",993/month",Zero downpayment
506,Honda Jazz,Honda,1.2 V MT ,2017,Manual,"16,487",1st,Petrol,"31,199",",041/month",Zero downpayment
507,Maruti Alto K10,Maruti,VXI ,2017,Manual,"57,753",1st,Petrol,"43,299",636/month,Zero downpayment
508,Maruti Wagon R 1.0,Maruti,VXI OPT AMT ,2017,Automatic,"21,674",1st,Petrol,"53,399",",086/month",Zero downpayment
509,Honda Brio,Honda,1.2 S MT I VTEC ,2015,Manual,"68,884",2nd,Petrol,"94,499",775/month,Zero downpayment
510,Maruti Alto 800,Maruti,LXI ,2014,Manual,"33,959",2nd,Petrol,"82,999",295/month,Zero downpayment
511,Maruti Alto K10,Maruti,VXI (O) AMT ,2018,Automatic,"14,908",3rd,Petrol,"94,399",773/month,Zero downpayment
512,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,"30,912",1st,Petrol,"78,099",",635/month",Zero downpayment
513,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2015,Manual,"21,551",1st,Petrol,"45,099",901/month,Zero downpayment
514,Maruti Alto 800,Maruti,VXI ,2017,Manual,"34,221",1st,Petrol,"15,999",029/month,Zero downpayment
