,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
106,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2018,Manual,"67,591",1st,Petrol,"5,94,499","13,224/month",Zero downpayment
107,Maruti Ciaz,Maruti,DELTA 1.5 SHVS VVT MT ,2020,Manual,"8,747",1st,Petrol,"9,39,199","20,892/month",Zero downpayment
108,Honda City,Honda,VX MT PETROL ,2018,Manual,"48,992",1st,Petrol,"9,96,799","22,173/month",Zero downpayment
109,Hyundai NEW I20,Hyundai,STA (O) 1.5 CRDI MT ,2021,,"15,187",1st,Diesel,"11,49,199","25,563/month",Zero downpayment
110,Hyundai Elite i20,Hyundai,STA 1.2 AT ,2018,Automatic,"14,978",1st,Petrol,"7,74,199","17,222/month",Zero downpayment
111,Hyundai i20 Active,Hyundai,1.2 S ,2017,Manual,"1,09,519",1st,Petrol,"6,33,799","14,099/month",Zero downpayment
112,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,"1,29,986",2nd,Diesel,"4,60,599","10,246/month",Zero downpayment
113,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2018,Manual,"16,676",1st,Petrol,"7,30,099","16,241/month",Zero downpayment
114,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,,"34,457",1st,Petrol,"4,21,899","9,385/month",Zero downpayment
115,Maruti Swift,Maruti,VXI ,2014,Manual,"1,02,252",1st,Petrol,"4,39,999","9,788/month",Zero downpayment
116,Hyundai Santro Xing,Hyundai,GLS ,2010,Manual,"74,312",1st,Petrol,"2,36,899","5,270/month",Zero downpayment
117,Renault Kwid,Renault,RXT 1.0 EASY-R  AT ,2018,Automatic,"32,161",1st,Petrol,"4,36,299","9,705/month",Zero downpayment
118,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2019,Manual,"40,117",1st,Diesel,"10,14,999","22,578/month",Zero downpayment
119,Honda Brio,Honda,1.2 E MT I VTEC ,2016,Manual,"74,437",1st,Petrol,"3,86,799","8,604/month",Zero downpayment
