,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
330,Maruti Alto K10,Maruti,VXI AMT ,2016,Automatic,"68,734",1st,Petrol,"34,399",439/month,Zero downpayment
331,Maruti Alto K10,Maruti,VXI AMT ,2016,Automatic,"50,676",1st,Petrol,"34,799",447/month,Zero downpayment
332,Maruti Alto 800,Maruti,LXI ,2016,Manual,"30,102",1st,Petrol,"78,299",191/month,Zero downpayment
333,Maruti Alto,Maruti,VXI ,2019,Manual,"38,206",1st,Petrol,"59,599",999/month,Zero downpayment
334,Maruti Alto 800,Maruti,LXI ,2016,Manual,"41,703",1st,Petrol,"78,299",191/month,Zero downpayment
335,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2018,Manual,"18,637",1st,Petrol,"27,199",503/month,Zero downpayment
336,Maruti Alto K10,Maruti,VXI ,2019,Manual,"31,324",1st,Petrol,"53,799",870/month,Zero downpayment
337,Maruti Alto K10,Maruti,VXI (O) AMT ,2018,Automatic,"21,129",1st,Petrol,"62,299",059/month,Zero downpayment
338,Maruti Alto 800,Maruti,LXI ,2018,Manual,"31,801",1st,Petrol,"07,999",851/month,Zero downpayment
339,Maruti Alto 800,Maruti,LXI ,2018,Manual,"34,030",1st,Petrol,"07,999",851/month,Zero downpayment
340,Renault Kwid,Renault,RXT ,2016,Manual,"33,618",2nd,Petrol,"88,799",424/month,Zero downpayment
